Time (s);IPU_P;disc_IPU_P;ReactionTime_P;FilledBreaks_P;Feedbacks_P;Discourses_P;Particles_P;Laughters_P;UnionSocioItems_P;LexicalRichness_P;TypeTokenRatio_P;SpeechRate_P;Polarity_P;Subjectivity_P;IPU_I;disc_IPU_I;Overlap_I;ReactionTime_I;FilledBreaks_I;Feedbacks_I;Discourses_I;Particles_I;Laughters_I;UnionSocioItems_I;LexicalRichness_I;TypeTokenRatio_I;SpeechRate_I;Polarity_I;Subjectivity_I;Gaze_speed_P;Gaze_movement_energy_P;Saccades_P;Face_looks_P;Mouth_looks_P;Eyes_looks_P;Angry_I;Disgust_I;Fear_I;Happy_I;Sad_I;Surprise_I;Neutral_I;AUs_mouth_I;AU_eyes_I;AU_all_I;Direct_gaze_I;Head_Tx_I;Head_Ty_I;Head_Rx_I;Head_Ry_I;Head_rotation_energy_I;Head_translation_energy_I;Smiles_I
46.99499999999996;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8888888888888888;7.606225396929631;0.0;0.0;12.219917012524299;104.5176787754765;0.0;36.0;0.0;2.0;0.0;0.0;0.0;0.7772443890571594;0.0;0.0;0.5065864324569702;3.361111111111111;0.16666666666666666;3.5277777777777777;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
48.19999999999996;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6887872714523126;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-68.0082987551756;256.16786789743446;48.0;37.0;0.0;4.0;0.0;0.0;0.0;0.6571758389472961;0.0;0.0;0.5310826301574707;2.861111111111111;0.7222222222222222;3.5833333333333335;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
49.40499999999996;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-4.3153526971477865;143.6159680233289;0.0;36.0;0.0;8.0;0.0;0.0;0.0;0.6371224522590637;0.0;0.0;0.48505571484565735;2.2162162162162162;0.0;2.2162162162162162;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
50.60999999999996;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.136929460677426;99.45549119461649;0.0;36.0;0.0;0.0;0.0;0.0;0.0;0.6935648322105408;0.0;0.0;0.0;2.138888888888889;0.0;2.138888888888889;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
51.814999999999955;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-31.999964455366193;200.2603888883537;19.0;31.0;0.0;5.0;0.0;0.0;0.0;0.602841317653656;0.0;0.0;0.498500794172287;2.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
53.01999999999995;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-40.01296110693715;226.67345728399255;20.0;32.0;0.0;1.0;0.0;0.0;0.0;0.6410574316978455;0.0;0.0;0.48640841245651245;1.9722222222222223;0.5277777777777778;2.5;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
54.22499999999995;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;29.941323023136114;277.5265229589793;16.0;31.0;0.0;0.0;0.0;0.0;0.0;0.6062915921211243;0.0;0.0;0.47636982798576355;2.111111111111111;0.3888888888888889;2.5;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
55.42999999999995;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-26.673751284976934;193.37619669595466;8.0;31.0;0.0;0.0;0.0;0.0;0.0;0.637876570224762;0.0;0.0;0.5385504961013794;2.0;0.25;2.25;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
56.63499999999995;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-25.335292979384505;147.7159018715851;7.0;30.0;0.0;0.0;0.0;0.0;0.0;0.641069233417511;0.0;0.0;0.5543350577354431;2.0;0.5135135135135135;2.5135135135135136;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
57.83999999999995;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.597510373443942;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;1.0;8.988993069337182;0.0;0.0;-22.316974596221176;230.3353982175151;8.0;29.0;0.0;0.0;0.0;0.0;0.0;0.6728537678718567;0.0;0.0;0.5153622031211853;2.1666666666666665;0.4444444444444444;2.611111111111111;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
